,tweet_id,user,time,tweet_text,location,hashtags,search_term
0,1328515200925003778,lglovinsky11,Tue Nov 17 01:48:01 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",,,Walmart
1,1328514902382817282,FRWessling,Tue Nov 17 01:46:49 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","Always Here, Sometimes Now",,Walmart
2,1328514480712650752,PonytailPixie,Tue Nov 17 01:45:09 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Sparkle Mountain,,Walmart
3,1328513128754270209,FanWalmart,Tue Nov 17 01:39:47 +0000 2020,"RT @WalmartCAGaming: Happy Monday! A quick update for customers (and hopeful customers):

If you're awaiting a shipping update on your #PS5…",Walmart Canada :),"PS5,",Walmart
4,1328512926173589505,avmoca,Tue Nov 17 01:38:58 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",,,Walmart
5,1328512860721459201,MarthaLynneOwe1,Tue Nov 17 01:38:43 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Southern Maine,,Walmart
6,1328512705557311488,tightenupjit,Tue Nov 17 01:38:06 +0000 2020,Bout to hit this Walmart truck for this ps5,Florida,,Walmart
7,1328512627589468161,jjj5819,Tue Nov 17 01:37:47 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Worcester  MA,,Walmart
8,1328512204237398020,ymbertmarypaz,Tue Nov 17 01:36:06 +0000 2020,@AcidComment__ Walmart o Pricesmart!,Guatemala,,Walmart
9,1328511952457506821,BBF8droid,Tue Nov 17 01:35:06 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Undrainable Swamp,,Walmart
10,1328511823428120576,DaBears1029,Tue Nov 17 01:34:35 +0000 2020,@nick_sperti Leafs jersey looks like the cheap knockoff from Walmart,Canada,,Walmart
11,1328511682700828674,rfd_hotdeals,Tue Nov 17 01:34:02 +0000 2020,[Walmart] Black Friday Deals https://t.co/armMKRAEX4,Canada,,Walmart
12,1328511606964297730,heterochromicp1,Tue Nov 17 01:33:44 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Hellworld,,Walmart
13,1328511553533054976,ronraynor,Tue Nov 17 01:33:31 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","Chicago, Fort Lauderdale",,Walmart
14,1328511516346355719,vicleolions,Tue Nov 17 01:33:22 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Canada,,Walmart
15,1328511480518619137,chicwithissues,Tue Nov 17 01:33:14 +0000 2020,@smellycarney you shop at Walmart...  ick 😉 https://t.co/hyELN97o8W,Michigan,,Walmart
16,1328511457860984832,ashes_and_mist,Tue Nov 17 01:33:08 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","North Carolina, USA",,Walmart
17,1328511405235036166,zyegor1,Tue Nov 17 01:32:56 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","Florida, USA",,Walmart
18,1328511313753083905,ChifladaRabia,Tue Nov 17 01:32:34 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",,,Walmart
19,1328511299462959104,Roshioshi,Tue Nov 17 01:32:30 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Third Rock from the Sun,,Walmart
20,1328511081841631234,HarpyTess,Tue Nov 17 01:31:39 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","West Lafayette, IN",,Walmart
21,1328511038241845251,Jared42549415,Tue Nov 17 01:31:28 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",,,Walmart
22,1328510967815282689,the_ladykay,Tue Nov 17 01:31:11 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",United States,,Walmart
23,1328510958424223745,color_me_bored,Tue Nov 17 01:31:09 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","Suburbia, MN",,Walmart
24,1328510757055520768,celialewis,Tue Nov 17 01:30:21 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…",Vancouver BC,,Walmart
25,1328510707994931201,LauraLieux,Tue Nov 17 01:30:09 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","New York, NY",,Walmart
26,1328510590181122049,QasimRashid,Tue Nov 17 01:29:41 +0000 2020,"RT @QasimRashid: COVID19 has closed 20% of small biz forever &amp; made Amazon &amp; Walmart founders $133B richer😳

This holiday season—join the #…","Virginia, USA",,Walmart
27,1328510510921297927,MsWelbergen,Tue Nov 17 01:29:22 +0000 2020,"@MissLwbt There is no 2m rule in public spaces &amp; masks are required, so I am wondering if that also now applies to schools? I mean, I can walk down an aisle in Walmart with no one around but I must still wear a mask. Are teachers truly allowed to not wear one in a classroom with students?","Winnipeg, MB",,Walmart
28,1328510262769561602,AbroAioAyami,Tue Nov 17 01:28:23 +0000 2020,"@PlasticPriestSB Go to the craft section of Walmart and buy the cheap embroidery thread in the colours that match their sona, anywhere from 3-12 colours will work, and then you’re gonna hmu and I’ll teach you to make a friendship bracelet, bitches love it when you make something from the heart 💛",Canada,,Walmart
29,1328510124013469696,Woofers_MB,Tue Nov 17 01:27:50 +0000 2020,"@ChrisDca Black Friday is coming

https://t.co/XXSNP9wP8B

#woof","Winnipeg, Manitoba","woof,",
30,1328509603483627529,Amagma3,Tue Nov 17 01:25:46 +0000 2020,@Walmart You forgot the #0 The Famous Sales Predator The Walmartgalania https://t.co/Xy7rAIwqGK,San Juan PR,,Walmart
