,user,time,tweet_text,lat,long,location,hashtags
0,knitntherapist,Fri Nov 13 01:22:43 +0000 2020,"@CZEdwards I can’t be the only one with visions of the bank basement from  The Umbrella Academy dancing in my head.
https://t.co/9H37GkYUop https://t.co/Z4bRqdnbeX",,,North of Toronto,[]
1,the_james_the,Fri Nov 13 01:22:08 +0000 2020,"I love Jeopardy as the absolute, polar opposite of Trump TV it is, but I would empty my bank account to watch an episode of this https://t.co/QEIWvsu06W",,,"Toronto, Ontario",[]
2,shesconnected,Fri Nov 13 01:21:06 +0000 2020,"@TangerineBank Love my VISA debit card. You can use it like a credit card, but it comes out of your bank account so you don't have to worry about credit card debt @TangerineBank #MoneySavvy",,,"Toronto, Canada","[{'text': 'MoneySavvy', 'indices': [178, 189]}]"
3,BoltonBrewer,Fri Nov 13 01:20:34 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Bolton, ON, Canada.  ",[]
4,PrimaryCareRD,Fri Nov 13 01:19:14 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
5,drew_oak,Fri Nov 13 01:19:07 +0000 2020,"Drop your number 1 track from each of these projects. I’m trying to see something. 
I’ll go first. 

ABT - La La
MIL - Reckless
CARPE DIEM - Loading
TAT - Bank on it https://t.co/j5YsN8QCI4",,,"Hamilton, Ontario",[]
6,jennnyyang,Fri Nov 13 01:18:35 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
7,ScalitoG,Fri Nov 13 01:18:11 +0000 2020,@JonnyMicro I am calling on a privilege tax of Deutsche Bank.,,,"Buffalo, NY",[]
8,scot_foley,Fri Nov 13 01:18:06 +0000 2020,@johncardillo Any particular reason that you’re hating on Deutsche Bank? :),,,"Buffalo, NY",[]
9,pofwisdom,Fri Nov 13 01:17:10 +0000 2020,"@TangerineBank @FCACan Probably not enough people know that. Thank you for the financial education, Tangerine Bank. #MoneySavvy",,,"Toronto, Ontario, CANADA","[{'text': 'MoneySavvy', 'indices': [116, 127]}]"
10,AUF365,Fri Nov 13 01:16:57 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
11,jamesdark44,Fri Nov 13 01:16:24 +0000 2020,@PatMcAfeeShow @MadJack54 @Titans 27-23 Colts. Take it to the bank!,,,"Clarington, Ontario",[]
12,MissLizzieGosse,Fri Nov 13 01:11:22 +0000 2020,@TangerineBank A little. We do a budget twice a year and monitor our bank accounts weekly #MoneySavvy,,,"Brantford, Ontario","[{'text': 'MoneySavvy', 'indices': [90, 101]}]"
13,Orchid2424,Fri Nov 13 01:10:10 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,Ontario Canada,[]
14,ProSuccessBW,Fri Nov 13 01:10:08 +0000 2020,"RT @AmbrosePocket: @NonprofitAF People are in need *because* of politics.

Sure his comment is clueless, but it also reflects conversations…",,,,[]
15,MissLizzieGosse,Fri Nov 13 01:08:56 +0000 2020,@SheriMcdonald @TangerineBank I am so glad my mom worked at the bank and let me know about it when it began. I was able to start including it in lessons for students! #MoneySavvy,,,"Brantford, Ontario","[{'text': 'MoneySavvy', 'indices': [167, 178]}]"
16,sarbaby6,Fri Nov 13 01:08:49 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
17,Mivasair,Fri Nov 13 01:06:07 +0000 2020,"@mcuban Re-think this, please, Mark.  Donating to charity instead of taking control of the U.S. Senate away from the anti-people GOP is not going to help long term.  Donate to a food bank and ppl will be back bcz they’re hungry again four hours later.",,,"Hamilton, Ontario",[]
18,DanielleKaardal,Fri Nov 13 01:04:02 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
19,crybabyrobin,Fri Nov 13 01:02:48 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,toronto,[]
20,sarahhyun9,Fri Nov 13 01:02:22 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
21,tomhutchmusic,Fri Nov 13 00:56:41 +0000 2020,You know you blah blah too much when the bank guy says “sorry for cutting you off”. That cut deep.,,,Toronto,[]
22,harvey1C,Fri Nov 13 00:55:53 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,Toronto,[]
23,lukeincanada,Fri Nov 13 00:55:50 +0000 2020,"@CJBECKR @LanceRoberts 💯. I hear about companies (tool &amp; die) that paid $25/hour in 1989 for their skilled workers, now only paying $22 in 2020. Why? Because they can.  Brutal. Bank of Montreal made $1.19B profit in the 3rd qtr alone in 2019, still laid off 1900ppl.",,,Toronto Canada,[]
24,Bokiest_BokChoy,Fri Nov 13 00:55:19 +0000 2020,Music bank hire me I’ll apply my (not even university level) physics knowledge to make this stage a reality✌️😤 https://t.co/3XV0jW8n1O,,,"Toronto, Ontario",[]
25,swaritdholakia,Fri Nov 13 00:54:35 +0000 2020,"i guess saying something followed after “Report:” in caps and on quotes makes things true...sooo

“REPORT: MY BANK REMOVED 4 0s FROM THE END OF MY BANK BALANCE ACCOUNT” https://t.co/rcS2FM8nZ0",,,Toronto,[]
26,GeoffreyAu,Fri Nov 13 00:53:49 +0000 2020,"Another webinar, Understanding the Versatility of Reverse Mortgages from Home Equity Bank. @ Markham, Ontario https://t.co/DBBCcyF96l",43.8667,-79.2667,Markham,[]
27,JSemerko,Fri Nov 13 00:52:39 +0000 2020,"* Misuse of charity funds (convicted Nov 7, 2019. Fined 2 mil. Banned from all charity work for 10 years)
* Emoluments 
* violation of Logan act
* Espionage? For handing classified information to MbS through Kushner
Bank fraud
Bribery (Ukraine) (which he confessed to on live TV",,,"Halton Hills, Ontario",[]
28,Fufanica,Fri Nov 13 00:45:59 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
29,heyref88,Fri Nov 13 00:43:39 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Vaughan, Ontario",[]
30,ElieShammas,Fri Nov 13 00:42:05 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,Elie Shammas,[]
31,hanif_shamji,Fri Nov 13 00:35:53 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Toronto, ON Canada",[]
32,hs88_hs88,Fri Nov 13 00:35:29 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,A safe distance from you,[]
33,IntruderVS1400,Fri Nov 13 00:33:24 +0000 2020,"Deutsche-Bank is trying to penalize the very thing they should *hope* more people can and would do. Instead they should penalize companies that don't let workers who can work from home do just that.

https://t.co/hWZALGDugE",,,Toronto,[]
34,AlzheimerPpl,Fri Nov 13 00:33:10 +0000 2020,RT @stolte4ward4: I challenge all bikers to protect their favourite town of Port Dover on Friday the 13th by NOT going down tomorrow. Celeb…,,,"Burlington, Ontario",[]
35,shalenawilliam4,Fri Nov 13 00:32:26 +0000 2020,RT @h_juschitz: @cnnbrk What about @IvankaTrump and @jaredkushner investments whose funds support Chinese funding of military? Ivanka’s cof…,,,connecticut,[]
36,stolte4ward4,Fri Nov 13 00:32:10 +0000 2020,I challenge all bikers to protect their favourite town of Port Dover on Friday the 13th by NOT going down tomorrow. Celebrate instead by donating the $13 gas money to your local food bank and know that your good choice will make a difference in so many ways! https://t.co/Ch2LF09byS,,,"Burlington, Ontario",[]
